Open,High,Low,Close,Volume,Dividends,Stock Splits,date
7507.84,7516.69,7368.33,7496.89,2650290000,0,0,2018-10-12
7473.33,7500.93,7400.07,7430.74,2148850000,0,0,2018-10-15
7501.78,7658.14,7493.44,7645.49,2623300000,0,0,2018-10-16
7669.26,7670.49,7563.09,7642.7,2364720000,0,0,2018-10-17
7616.47,7616.86,7452.46,7485.14,2545950000,0,0,2018-10-18
7530.16,7582.89,7428.3,7449.03,2532220000,0,0,2018-10-19
7486.74,7520.54,7424.74,7468.63,2282400000,0,0,2018-10-22
7328.55,7472.58,7260.13,7437.54,2735820000,0,0,2018-10-23
7423.21,7435.69,7099.0,7108.4,2935550000,0,0,2018-10-24
7197.49,7364.82,7178.54,7318.34,2741810000,0,0,2018-10-25
7125.18,7283.32,7057.0,7167.21,2964780000,0,0,2018-10-26
7272.42,7295.61,6922.83,7050.29,2689550000,0,0,2018-10-29
7017.87,7166.84,7001.48,7161.65,2681310000,0,0,2018-10-30
7276.62,7368.49,7270.63,7305.9,2899730000,0,0,2018-10-31
7327.82,7435.88,7286.5,7434.06,2708880000,0,0,2018-11-01
7424.02,7466.53,7298.68,7356.99,2889910000,0,0,2018-11-02
7344.08,7349.23,7255.88,7328.85,2166470000,0,0,2018-11-05
7326.07,7400.64,7320.89,7375.96,2285680000,0,0,2018-11-06
7446.09,7572.93,7435.87,7570.75,2677530000,0,0,2018-11-07
7544.17,7566.93,7499.71,7530.88,2462430000,0,0,2018-11-08
7468.51,7474.34,7349.48,7406.9,2418490000,0,0,2018-11-09
7364.05,7371.09,7193.77,7200.87,2289070000,0,0,2018-11-12
7230.69,7319.12,7182.86,7200.87,2343940000,0,0,2018-11-13
7265.39,7285.57,7101.17,7136.39,2540220000,0,0,2018-11-14
7112.83,7274.26,7072.36,7259.03,2508720000,0,0,2018-11-15
7193.6,7274.86,7171.7,7247.87,2438260000,0,0,2018-11-16
7217.24,7224.12,7011.4,7028.48,2354020000,0,0,2018-11-19
6867.43,6994.75,6830.76,6908.82,2664950000,0,0,2018-11-20
6985.51,7029.93,6951.62,6972.25,1858050000,0,0,2018-11-21
6919.52,6987.89,6919.16,6938.98,958950000,0,0,2018-11-23
7026.5,7083.93,7003.12,7081.85,2011180000,0,0,2018-11-26
7041.23,7105.14,7014.36,7082.7,2067360000,0,0,2018-11-27
7135.08,7292.71,7090.98,7291.59,2390260000,0,0,2018-11-28
7267.37,7319.96,7217.69,7273.08,1983460000,0,0,2018-11-29
7279.3,7332.79,7255.68,7330.54,2542820000,0,0,2018-11-30
7486.13,7486.51,7392.22,7441.51,2621020000,0,0,2018-12-03
